"category_name","avg_category_rating","year_month","label"
"Popes & the Vatican",4.42,"1997.1","Top 2"
"Catholicism",4.42,"1997.1","Top 2"
"Christian Books & Bibles",4.42,"1997.1","Top 2"
"Kindle eBooks",4.42,"1997.1","Top 2"
"Books",4.42,"1997.1","Top 2"
"One hour (33-43 pages)",4.42,"1997.1","Top 2"
"Kindle Short Reads",4.42,"1997.1","Top 2"
"Kindle Store",4.42,"1997.1","Top 2"
"Christianity",4.42,"1997.1","Top 2"
"Books",4.42,"1997.1","Top 2"
"Books",4.42,"1997.1","Top 2"
"Kindle Store",4.42,"1997.1","Top 1"
"30 minutes (12-21 pages)",4.42,"1997.1","Top 1"
"Kindle eBooks",4.42,"1997.1","Top 1"
"Professional & Technical",4.42,"1997.1","Top 1"
"Kindle Short Reads",4.42,"1997.1","Top 1"
"Law",4.42,"1997.1","Top 1"
"Criminal Law",4.42,"1997.1","Top 1"
"Law Enforcement",4.42,"1997.1","Top 1"
"Specific Topics",4.42,"1997.1","Top 1"
"Books",4.42,"1997.1","Top 1"
"Civil Rights & Liberties",4.42,"1997.1","Top 1"
"Books",4.42,"1997.1","Top 1"
"Books",4.42,"1997.1","Top 1"
"Politics & Social Sciences",4.42,"1997.1","Top 1"
"Politics & Government",4.42,"1997.1","Top 1"
"CDs & Vinyl",5,"1997.10","Top 5"
"Christian",5,"1997.10","Top 5"
"Pop",5,"1997.10","Top 4"
"Rock",5,"1997.10","Top 4"
"CDs & Vinyl",5,"1997.10","Top 4"
"Pop",5,"1997.10","Top 4"
"Oldies",5,"1997.10","Top 4"
"Doo Wop",5,"1997.10","Top 4"
"Vocal Pop",5,"1997.10","Top 4"
"Oldies & Retro",5,"1997.10","Top 4"
"CDs & Vinyl",5,"1997.10","Top 4"
"Rock",5,"1997.10","Top 4"
"Digital Music",5,"1997.10","Top 4"
"Indie & Lo-Fi",5,"1997.10","Top 4"
"Alternative Rock",5,"1997.10","Top 4"
"Hardcore & Punk",5,"1997.10","Top 4"
"Hardcore",5,"1997.10","Top 4"
"Punk",5,"1997.10","Top 4"
"Math Rock",5,"1997.10","Top 4"
"Metal",5,"1997.10","Top 4"
"Pop",5,"1997.10","Top 3"
"Rock",5,"1997.10","Top 3"
"CDs & Vinyl",5,"1997.10","Top 3"
"Metal",5,"1997.10","Top 3"
"Punk Revival",5,"1997.10","Top 3"
"Punk",5,"1997.10","Top 3"
"Hardcore",5,"1997.10","Top 3"
"Hardcore & Punk",5,"1997.10","Top 3"
"Alternative Rock",5,"1997.10","Top 3"
"CDs & Vinyl",5,"1997.10","Top 2"
"Christian",5,"1997.10","Top 2"
"Pop & Contemporary",5,"1997.10","Top 2"
"Praise & Worship",5,"1997.10","Top 2"
"Jazz",5,"1997.10","Top 2"
"Avant Garde & Free Jazz",5,"1997.10","Top 2"
"Pop",5,"1997.10","Top 2"
"Rock",5,"1997.10","Top 2"
"Alternative Rock",5,"1997.10","Top 2"
"Hard Rock & Metal",5,"1997.10","Top 2"
"Hard Rock",5,"1997.10","Top 2"
"Rock",5,"1997.10","Top 2"
"Gospel",5,"1997.10","Top 2"
"Singer-Songwriters",5,"1997.10","Top 2"
"CDs & Vinyl",5,"1997.10","Top 2"
"Christian",5,"1997.10","Top 1"
"Latin Music",5,"1997.10","Top 1"
"Latin Christian",5,"1997.10","Top 1"
"Latin Pop",5,"1997.10","Top 1"
"Pop",5,"1997.10","Top 1"
"Pop & Contemporary",5,"1997.10","Top 1"
"CDs & Vinyl",5,"1997.10","Top 1"
"Rock",5,"1997.10","Top 1"
"Alternative Rock",5,"1997.10","Top 1"
"American Alternative",5,"1997.10","Top 1"
"Hardcore & Punk",5,"1997.10","Top 1"
"Big Beat",5,"1997.10","Top 1"
"Pop",5,"1997.10","Top 1"
"Dance Pop",5,"1997.10","Top 1"
"Emo",5,"1997.10","Top 1"
"Punk Revival",5,"1997.10","Top 1"
"Punk-Pop",5,"1997.10","Top 1"
"Dance & Electronic",5,"1997.10","Top 1"
"CDs & Vinyl",5,"1997.10","Top 1"
"Adult Alternative",5,"1997.10","Top 1"
"CDs & Vinyl",5,"1997.10","Top 1"
"Pop",5,"1997.10","Top 1"
"CDs & Vinyl",5,"1997.11","Top 5"
"Rock",5,"1997.11","Top 5"
"Pop",5,"1997.11","Top 5"
"Avant Garde & Free Jazz",5,"1997.11","Top 5"
"Jazz",5,"1997.11","Top 5"
"Christian",5,"1997.11","Top 4"
"Pop & Contemporary",5,"1997.11","Top 4"
"Praise & Worship",5,"1997.11","Top 4"
"Gospel",5,"1997.11","Top 4"
"CDs & Vinyl",5,"1997.11","Top 4"
"Punk-Pop",5,"1997.11","Top 3"
"Pop",5,"1997.11","Top 3"
"Punk Revival",5,"1997.11","Top 3"
"Emo",5,"1997.11","Top 3"
"Hardcore & Punk",5,"1997.11","Top 3"
"American Alternative",5,"1997.11","Top 3"
"Alternative Rock",5,"1997.11","Top 3"
"Rock",5,"1997.11","Top 3"
"Adult Alternative",5,"1997.11","Top 3"
"CDs & Vinyl",5,"1997.11","Top 3"
"CDs & Vinyl",5,"1997.11","Top 2"
"Christian",5,"1997.11","Top 2"
"Latin Music",5,"1997.11","Top 2"
"Latin Christian",5,"1997.11","Top 2"
"Latin Pop",5,"1997.11","Top 2"
"Pop",5,"1997.11","Top 2"
"Pop & Contemporary",5,"1997.11","Top 2"
"CDs & Vinyl",5,"1997.11","Top 1"
"Dance & Electronic",5,"1997.11","Top 1"
"Pop",5,"1997.11","Top 1"
"Big Beat",5,"1997.11","Top 1"
"Dance Pop",5,"1997.11","Top 1"
"Pop Rap",5,"1997.12","Top 5"
"CDs & Vinyl",5,"1997.12","Top 5"
"Pop",5,"1997.12","Top 5"
"Dance & Electronic",5,"1997.12","Top 5"
"CDs & Vinyl",5,"1997.12","Top 5"
"Soul",5,"1997.12","Top 5"
"R&B",5,"1997.12","Top 5"
"Pop",5,"1997.12","Top 5"
"CDs & Vinyl",5,"1997.12","Top 5"
"Pop",5,"1997.12","Top 5"
"World Music",5,"1997.12","Top 5"
"Rap & Hip-Hop",5,"1997.12","Top 5"
"Reggae",5,"1997.12","Top 5"
"Contemporary R&B",5,"1997.12","Top 5"
"Dance Pop",5,"1997.12","Top 5"
"Dance & Electronic",5,"1997.12","Top 5"
"Contemporary Blues",5,"1997.12","Top 5"
"Blues",5,"1997.12","Top 5"
"Soul",5,"1997.12","Top 5"
"R&B",5,"1997.12","Top 5"
"CDs & Vinyl",5,"1997.12","Top 4"
"Movie Soundtracks",5,"1997.12","Top 4"
"Soundtracks",5,"1997.12","Top 4"
"CDs & Vinyl",5,"1997.12","Top 4"
"Soundtracks",5,"1997.12","Top 4"
"Pop",5,"1997.12","Top 4"
"Soundtracks",5,"1997.12","Top 3"
"CDs & Vinyl",5,"1997.12","Top 3"
"Pop",5,"1997.12","Top 3"
"Soundtracks",5,"1997.12","Top 3"
"CDs & Vinyl",5,"1997.12","Top 3"
"CDs & Vinyl",5,"1997.12","Top 2"
"Christian",5,"1997.12","Top 2"
"Praise & Worship",5,"1997.12","Top 2"
"Childrens Music",5,"1997.12","Top 1"
"Christian",5,"1997.12","Top 1"
"Childrens",5,"1997.12","Top 1"
"CDs & Vinyl",5,"1997.12","Top 1"
"CDs & Vinyl",5,"1997.12","Top 1"
"World Music",5,"1997.12","Top 1"
"CDs & Vinyl",5,"1997.12","Top 1"
"Childrens Music",5,"1997.12","Top 1"
"Christian",5,"1997.12","Top 1"
"Childrens",5,"1997.12","Top 1"
"Soundtracks",5,"1997.12","Top 1"
"Books",5,"1997.2","Top 3"
"Books",5,"1997.2","Top 3"
"Health, Fitness & Dieting",5,"1997.2","Top 3"
"Kindle eBooks",5,"1997.2","Top 3"
"Two hours or more (65-100 pages)",5,"1997.2","Top 3"
"Kindle Short Reads",5,"1997.2","Top 3"
"Personal Transformation",5,"1997.2","Top 3"
"Self-Help",5,"1997.2","Top 3"
"Personal Growth",5,"1997.2","Top 3"
"Spirituality",5,"1997.2","Top 3"
"Religion & Spirituality",5,"1997.2","Top 3"
"Kindle Store",5,"1997.2","Top 3"
"Religious",5,"1997.2","Top 2"
"Kindle Store",5,"1997.2","Top 2"
"Kindle Short Reads",5,"1997.2","Top 2"
"One hour (33-43 pages)",5,"1997.2","Top 2"
"Books",5,"1997.2","Top 2"
"Religion & Spirituality",5,"1997.2","Top 2"
"Kindle eBooks",5,"1997.2","Top 2"
"Books",5,"1997.2","Top 2"
"Catholicism",5,"1997.2","Top 2"
"Popes & the Vatican",5,"1997.2","Top 2"
"Christianity",5,"1997.2","Top 2"
"Churches & Church Leadership",5,"1997.2","Top 2"
"Church History",5,"1997.2","Top 2"
"History",5,"1997.2","Top 2"
"World",5,"1997.2","Top 2"
"Books",5,"1997.2","Top 2"
"Christian Books & Bibles",5,"1997.2","Top 2"
"Kindle Short Reads",5,"1997.2","Top 1"
"Books",5,"1997.2","Top 1"
"Kindle Store",5,"1997.2","Top 1"
"Books",5,"1997.2","Top 1"
"Civil Rights & Liberties",5,"1997.2","Top 1"
"Specific Topics",5,"1997.2","Top 1"
"Politics & Government",5,"1997.2","Top 1"
"Politics & Social Sciences",5,"1997.2","Top 1"
"Law Enforcement",5,"1997.2","Top 1"
"Criminal Law",5,"1997.2","Top 1"
"Law",5,"1997.2","Top 1"
"Professional & Technical",5,"1997.2","Top 1"
"Kindle eBooks",5,"1997.2","Top 1"
"Books",5,"1997.2","Top 1"
"30 minutes (12-21 pages)",5,"1997.2","Top 1"
"Two hours or more (65-100 pages)",4.16,"1997.3","Top 3"
"Books",4.16,"1997.3","Top 3"
"Kindle Short Reads",4.16,"1997.3","Top 3"
"Kindle Store",4.16,"1997.3","Top 3"
"Personal Transformation",4.16,"1997.3","Top 3"
"Self-Help",4.16,"1997.3","Top 3"
"Personal Growth",4.16,"1997.3","Top 3"
"Spirituality",4.16,"1997.3","Top 3"
"Religion & Spirituality",4.16,"1997.3","Top 3"
"Books",4.16,"1997.3","Top 3"
"Health, Fitness & Dieting",4.16,"1997.3","Top 3"
"Kindle eBooks",4.16,"1997.3","Top 3"
"Christianity",4.16,"1997.3","Top 2"
"Catholicism",4.16,"1997.3","Top 2"
"Religious",4.16,"1997.3","Top 2"
"World",4.16,"1997.3","Top 2"
"History",4.16,"1997.3","Top 2"
"Church History",4.16,"1997.3","Top 2"
"Kindle Store",4.16,"1997.3","Top 2"
"Kindle Short Reads",4.16,"1997.3","Top 2"
"One hour (33-43 pages)",4.16,"1997.3","Top 2"
"Religion & Spirituality",4.16,"1997.3","Top 2"
"Churches & Church Leadership",4.16,"1997.3","Top 2"
"Books",4.16,"1997.3","Top 2"
"Books",4.16,"1997.3","Top 2"
"Kindle eBooks",4.16,"1997.3","Top 2"
"Christian Books & Bibles",4.16,"1997.3","Top 2"
"Books",4.16,"1997.3","Top 2"
"Popes & the Vatican",4.16,"1997.3","Top 2"
"Books",4.16,"1997.3","Top 1"
"Books",4.16,"1997.3","Top 1"
"Civil Rights & Liberties",4.16,"1997.3","Top 1"
"Specific Topics",4.16,"1997.3","Top 1"
"Politics & Government",4.16,"1997.3","Top 1"
"Law Enforcement",4.16,"1997.3","Top 1"
"Criminal Law",4.16,"1997.3","Top 1"
"Law",4.16,"1997.3","Top 1"
"Professional & Technical",4.16,"1997.3","Top 1"
"Kindle eBooks",4.16,"1997.3","Top 1"
"30 minutes (12-21 pages)",4.16,"1997.3","Top 1"
"Kindle Short Reads",4.16,"1997.3","Top 1"
"Books",4.16,"1997.3","Top 1"
"Kindle Store",4.16,"1997.3","Top 1"
"Politics & Social Sciences",4.16,"1997.3","Top 1"
"Health, Fitness & Dieting",4.22,"1997.4","Top 3"
"Two hours or more (65-100 pages)",4.22,"1997.4","Top 3"
"Books",4.22,"1997.4","Top 3"
"Religion & Spirituality",4.22,"1997.4","Top 3"
"Spirituality",4.22,"1997.4","Top 3"
"Personal Growth",4.22,"1997.4","Top 3"
"Self-Help",4.22,"1997.4","Top 3"
"Books",4.22,"1997.4","Top 3"
"Personal Transformation",4.22,"1997.4","Top 3"
"Kindle Store",4.22,"1997.4","Top 3"
"Kindle Short Reads",4.22,"1997.4","Top 3"
"Kindle eBooks",4.22,"1997.4","Top 3"
"Religion & Spirituality",4.22,"1997.4","Top 2"
"Churches & Church Leadership",4.22,"1997.4","Top 2"
"Popes & the Vatican",4.22,"1997.4","Top 2"
"Catholicism",4.22,"1997.4","Top 2"
"Christian Books & Bibles",4.22,"1997.4","Top 2"
"Church History",4.22,"1997.4","Top 2"
"Books",4.22,"1997.4","Top 2"
"Books",4.22,"1997.4","Top 2"
"World",4.22,"1997.4","Top 2"
"Religious",4.22,"1997.4","Top 2"
"Books",4.22,"1997.4","Top 2"
"Christianity",4.22,"1997.4","Top 2"
"History",4.22,"1997.4","Top 2"
"Kindle eBooks",4.22,"1997.4","Top 2"
"Kindle Store",4.22,"1997.4","Top 2"
"Kindle Short Reads",4.22,"1997.4","Top 2"
"One hour (33-43 pages)",4.22,"1997.4","Top 2"
"Kindle Short Reads",4.22,"1997.4","Top 1"
"Books",4.22,"1997.4","Top 1"
"Books",4.22,"1997.4","Top 1"
"Kindle Store",4.22,"1997.4","Top 1"
"30 minutes (12-21 pages)",4.22,"1997.4","Top 1"
"Kindle eBooks",4.22,"1997.4","Top 1"
"Professional & Technical",4.22,"1997.4","Top 1"
"Law",4.22,"1997.4","Top 1"
"Criminal Law",4.22,"1997.4","Top 1"
"Law Enforcement",4.22,"1997.4","Top 1"
"Politics & Social Sciences",4.22,"1997.4","Top 1"
"Politics & Government",4.22,"1997.4","Top 1"
"Specific Topics",4.22,"1997.4","Top 1"
"Civil Rights & Liberties",4.22,"1997.4","Top 1"
"Books",4.22,"1997.4","Top 1"
"Books",4.73,"1997.5","Top 3"
"Health, Fitness & Dieting",4.73,"1997.5","Top 3"
"Books",4.73,"1997.5","Top 3"
"Kindle eBooks",4.73,"1997.5","Top 3"
"Two hours or more (65-100 pages)",4.73,"1997.5","Top 3"
"Kindle Short Reads",4.73,"1997.5","Top 3"
"Kindle Store",4.73,"1997.5","Top 3"
"Personal Transformation",4.73,"1997.5","Top 3"
"Self-Help",4.73,"1997.5","Top 3"
"Personal Growth",4.73,"1997.5","Top 3"
"Spirituality",4.73,"1997.5","Top 3"
"Religion & Spirituality",4.73,"1997.5","Top 3"
"Christianity",4.73,"1997.5","Top 2"
"Books",4.73,"1997.5","Top 2"
"History",4.73,"1997.5","Top 2"
"World",4.73,"1997.5","Top 2"
"Churches & Church Leadership",4.73,"1997.5","Top 2"
"Popes & the Vatican",4.73,"1997.5","Top 2"
"Catholicism",4.73,"1997.5","Top 2"
"Books",4.73,"1997.5","Top 2"
"Christian Books & Bibles",4.73,"1997.5","Top 2"
"Kindle eBooks",4.73,"1997.5","Top 2"
"Kindle Store",4.73,"1997.5","Top 2"
"Religious",4.73,"1997.5","Top 2"
"Books",4.73,"1997.5","Top 2"
"Kindle Short Reads",4.73,"1997.5","Top 2"
"One hour (33-43 pages)",4.73,"1997.5","Top 2"
"Religion & Spirituality",4.73,"1997.5","Top 2"
"Church History",4.73,"1997.5","Top 2"
"Professional & Technical",4.73,"1997.5","Top 1"
"Criminal Law",4.73,"1997.5","Top 1"
"Law Enforcement",4.73,"1997.5","Top 1"
"Politics & Social Sciences",4.73,"1997.5","Top 1"
"Politics & Government",4.73,"1997.5","Top 1"
"Specific Topics",4.73,"1997.5","Top 1"
"Civil Rights & Liberties",4.73,"1997.5","Top 1"
"Law",4.73,"1997.5","Top 1"
"Kindle eBooks",4.73,"1997.5","Top 1"
"30 minutes (12-21 pages)",4.73,"1997.5","Top 1"
"Kindle Short Reads",4.73,"1997.5","Top 1"
"Books",4.73,"1997.5","Top 1"
"Kindle Store",4.73,"1997.5","Top 1"
"Books",4.73,"1997.5","Top 1"
"Books",4.73,"1997.5","Top 1"
"Books",4.44,"1997.6","Top 3"
"Personal Transformation",4.44,"1997.6","Top 3"
"Religion & Spirituality",4.44,"1997.6","Top 3"
"Books",4.44,"1997.6","Top 3"
"Health, Fitness & Dieting",4.44,"1997.6","Top 3"
"Kindle eBooks",4.44,"1997.6","Top 3"
"Two hours or more (65-100 pages)",4.44,"1997.6","Top 3"
"Spirituality",4.44,"1997.6","Top 3"
